date,close,factor
2005-01-04,3025.42,1.0
2005-01-05,3052.86,1.0
2005-01-06,3028.73,1.0
2005-01-07,3035.59,1.0
2005-01-10,3062.73,1.0
2005-01-11,3069.57,1.0
2005-01-12,3064.34,1.0
2005-01-13,3074.36,1.0
2005-01-14,3055.52,1.0
2005-01-17,2999.02,1.0
2005-01-18,3022.41,1.0
2005-01-19,3001.24,1.0
2005-01-20,2969.12,1.0
2005-01-21,3055.81,1.0
2005-01-24,3111.4,1.0
2005-01-25,3141.86,1.0
2005-01-26,3122.62,1.0
2005-01-27,3070.58,1.0
2005-01-28,3065.61,1.0
2005-01-31,3045.48,1.0
2005-02-01,3066.23,1.0
2005-02-02,3221.21,1.0
2005-02-03,3196.55,1.0
2005-02-04,3266.01,1.0
2005-02-16,3283.88,1.0
2005-02-17,3264.34,1.0
2005-02-18,3233.57,1.0
2005-02-21,3298.47,1.0
2005-02-22,3382.98,1.0
2005-02-23,3383.06,1.0
2005-02-24,3379.49,1.0
2005-02-25,3385.44,1.0
2005-02-28,3376.32,1.0
2005-03-01,3348.45,1.0
2005-03-02,3301.76,1.0
2005-03-03,3334.46,1.0
2005-03-04,3332.15,1.0
2005-03-07,3368.67,1.0
2005-03-08,3451.82,1.0
2005-03-09,3464.66,1.0
2005-03-10,3373.54,1.0
2005-03-11,3408.84,1.0
2005-03-14,3420.55,1.0
2005-03-15,3366.68,1.0
2005-03-16,3341.12,1.0
2005-03-17,3296.17,1.0
2005-03-18,3255.28,1.0
2005-03-21,3276.52,1.0
2005-03-22,3249.5,1.0
2005-03-23,3220.07,1.0
2005-03-24,3214.98,1.0
2005-03-25,3214.85,1.0
2005-03-28,3213.31,1.0
2005-03-29,3208.44,1.0
2005-03-30,3137.46,1.0
2005-03-31,3170.35,1.0
2005-04-01,3284.95,1.0
2005-04-04,3244.25,1.0
2005-04-05,3244.93,1.0
2005-04-06,3312.64,1.0
2005-04-07,3343.77,1.0
2005-04-08,3397.32,1.0
2005-04-11,3357.03,1.0
2005-04-12,3310.81,1.0
2005-04-13,3371.49,1.0
2005-04-14,3324.93,1.0
2005-04-15,3304.3,1.0
2005-04-18,3261.32,1.0
2005-04-19,3267.54,1.0
2005-04-20,3222.53,1.0
2005-04-21,3207.56,1.0
2005-04-22,3176.92,1.0
2005-04-25,3160.62,1.0
2005-04-26,3180.18,1.0
2005-04-27,3163.01,1.0
2005-04-28,3204.73,1.0
2005-04-29,3156.67,1.0
2005-05-09,3031.49,1.0
2005-05-10,3067.98,1.0
2005-05-11,3000.6,1.0
2005-05-12,2930.79,1.0
2005-05-13,2921.5,1.0
2005-05-16,2889.01,1.0
2005-05-17,2903.99,1.0
2005-05-18,2883.77,1.0
2005-05-19,2898.29,1.0
2005-05-20,2900.83,1.0
2005-05-23,2840.97,1.0
2005-05-24,2869.58,1.0
2005-05-25,2869.65,1.0
2005-05-26,2839.55,1.0
2005-05-27,2806.11,1.0
2005-05-30,2794.2,1.0
2005-05-31,2801.66,1.0
2005-06-01,2716.78,1.0
2005-06-02,2630.61,1.0
2005-06-03,2627.02,1.0
2005-06-06,2729.2,1.0
2005-06-07,2709.48,1.0
2005-06-08,2936.57,1.0
2005-06-09,2951.14,1.0
2005-06-10,2882.27,1.0
2005-06-13,2879.77,1.0
2005-06-14,2853.52,1.0
2005-06-15,2795.06,1.0
2005-06-16,2823.81,1.0
2005-06-17,2790.64,1.0
2005-06-20,2868.04,1.0
2005-06-21,2829.62,1.0
2005-06-22,2842.46,1.0
2005-06-23,2839.51,1.0
2005-06-24,2848.34,1.0
2005-06-27,2914.97,1.0
2005-06-28,2870.24,1.0
2005-06-29,2847.8,1.0
2005-06-30,2760.23,1.0
2005-07-01,2728.72,1.0
2005-07-04,2737.22,1.0
2005-07-05,2716.56,1.0
2005-07-06,2696.5,1.0
2005-07-07,2697.94,1.0
2005-07-08,2650.61,1.0
2005-07-11,2651.8,1.0
2005-07-12,2742.86,1.0
2005-07-13,2734.37,1.0
2005-07-14,2738.0,1.0
2005-07-15,2716.67,1.0
2005-07-18,2676.39,1.0
2005-07-19,2684.76,1.0
2005-07-20,2716.51,1.0
2005-07-21,2724.26,1.0
2005-07-22,2782.89,1.0
2005-07-25,2758.67,1.0
2005-07-26,2831.56,1.0
2005-07-27,2886.52,1.0
2005-07-28,2893.59,1.0
2005-07-29,2887.57,1.0
2005-08-01,2890.82,1.0
2005-08-02,2940.23,1.0
2005-08-03,2989.4,1.0
2005-08-04,2969.31,1.0
2005-08-05,3047.33,1.0
2005-08-08,3061.79,1.0
2005-08-09,3062.84,1.0
2005-08-10,3062.94,1.0
2005-08-11,3128.42,1.0
2005-08-12,3065.73,1.0
2005-08-15,3119.15,1.0
2005-08-16,3085.49,1.0
2005-08-17,3097.03,1.0
2005-08-18,3001.4,1.0
2005-08-19,3002.14,1.0
2005-08-22,3030.41,1.0
2005-08-23,2992.37,1.0
2005-08-24,2996.65,1.0
2005-08-25,2973.82,1.0
2005-08-26,2952.73,1.0
2005-08-29,2912.06,1.0
2005-08-30,2909.81,1.0
2005-08-31,2950.43,1.0
2005-09-01,3003.87,1.0
2005-09-02,3012.15,1.0
2005-09-05,3016.22,1.0
2005-09-06,2978.17,1.0
2005-09-07,3025.69,1.0
2005-09-08,3035.28,1.0
2005-09-09,3009.36,1.0
2005-09-12,2999.22,1.0
2005-09-13,3041.64,1.0
2005-09-14,3073.57,1.0
2005-09-15,3068.95,1.0
2005-09-16,3061.06,1.0
2005-09-19,3064.07,1.0
2005-09-20,3019.92,1.0
2005-09-21,2965.56,1.0
2005-09-22,2905.68,1.0
2005-09-23,2892.85,1.0
2005-09-26,2895.72,1.0
2005-09-27,2844.83,1.0
2005-09-28,2847.56,1.0
2005-09-29,2884.65,1.0
2005-09-30,2903.11,1.0
2005-10-10,2858.6,1.0
2005-10-11,2886.97,1.0
2005-10-12,2891.21,1.0
2005-10-13,2870.32,1.0
2005-10-14,2830.76,1.0
2005-10-17,2798.98,1.0
2005-10-18,2794.71,1.0
2005-10-19,2770.63,1.0
2005-10-20,2762.11,1.0
2005-10-21,2775.82,1.0
2005-10-24,2789.18,1.0
2005-10-25,2744.98,1.0
2005-10-26,2662.79,1.0
2005-10-27,2667.63,1.0
2005-10-28,2631.52,1.0
2005-10-31,2662.29,1.0
2005-11-01,2661.61,1.0
2005-11-02,2691.82,1.0
2005-11-03,2675.57,1.0
2005-11-04,2687.02,1.0
2005-11-07,2686.28,1.0
2005-11-08,2693.3,1.0
2005-11-09,2703.11,1.0
2005-11-10,2660.33,1.0
2005-11-11,2664.05,1.0
2005-11-14,2633.66,1.0
2005-11-15,2622.03,1.0
2005-11-16,2639.5,1.0
2005-11-17,2643.05,1.0
2005-11-18,2721.87,1.0
2005-11-21,2732.76,1.0
2005-11-22,2687.24,1.0
2005-11-23,2706.08,1.0
2005-11-24,2716.8,1.0
2005-11-25,2725.06,1.0
2005-11-28,2713.49,1.0
2005-11-29,2682.11,1.0
2005-11-30,2676.85,1.0
2005-12-01,2684.56,1.0
2005-12-02,2680.64,1.0
2005-12-05,2643.93,1.0
2005-12-06,2659.02,1.0
2005-12-07,2676.86,1.0
2005-12-08,2691.45,1.0
2005-12-09,2724.19,1.0
2005-12-12,2736.92,1.0
2005-12-13,2758.77,1.0
2005-12-14,2789.99,1.0
