date,open,close,high,low,volume,money
2010-11-25,31.0,29.41,33.99,29.16,32268664.0,1032703360.0
2010-11-26,28.33,29.86,30.53,27.23,15295265.0,440171648.0
2010-11-29,28.65,28.03,29.23,27.8,9081541.0,258326192.0
2010-11-30,27.69,26.11,28.28,25.4,7448121.0,199470224.0
2010-12-01,26.2,26.56,26.98,26.12,4483550.0,118707432.0
2010-12-02,26.85,25.91,26.95,25.9,5277101.0,138330224.0
2010-12-03,25.71,24.99,25.75,24.62,5604010.0,140523424.0
2010-12-06,24.86,24.19,25.1,24.11,3943813.0,96404400.0
2010-12-07,24.09,24.48,24.54,23.51,3611705.0,86869888.0
2010-12-08,24.38,24.02,24.8,23.86,3085726.0,75054408.0
2010-12-09,23.88,23.07,24.09,23.04,2877427.0,67883224.0
2010-12-10,23.02,23.31,23.53,23.02,2202204.0,51216072.0
2010-12-13,23.58,24.08,24.17,23.4,3022389.0,72145144.0
2010-12-14,24.1,25.18,25.32,23.82,5797347.0,142474448.0
2010-12-15,25.0,24.5,25.14,24.4,3659311.0,90667504.0
2010-12-16,24.48,24.7,24.97,24.38,2153353.0,53256200.0
2010-12-17,24.85,24.94,25.07,24.65,2209171.0,54973320.0
2010-12-20,25.2,24.33,25.36,23.8,3033296.0,74447840.0
2010-12-21,24.4,24.43,24.5,24.11,1738178.0,42269700.0
2010-12-22,24.43,24.75,25.0,24.41,2582572.0,63894588.0
2010-12-23,24.76,23.99,24.81,23.9,1893781.0,46091292.0
2010-12-27,23.8,22.72,23.8,22.71,2303410.0,53756320.0
2010-12-28,22.5,21.27,22.52,21.18,2124013.0,46008800.0
2010-12-29,21.35,21.61,21.65,21.21,911999.0,19584856.0
2010-12-30,21.55,21.7,21.97,21.55,1070510.0,23257974.0
2010-12-31,21.75,21.85,21.9,21.65,1340877.0,29163980.0
2011-01-04,21.95,21.98,22.08,21.7,1355173.0,29695274.0
2011-01-05,21.99,22.03,22.2,21.85,1282730.0,28258268.0
2011-01-06,22.0,21.62,22.09,21.48,1170636.0,25377750.0
2011-01-07,21.62,21.75,21.97,21.41,1016909.0,22086920.0
2011-01-10,21.5,21.36,21.84,21.3,890394.0,19201516.0
2011-01-11,21.2,20.62,21.55,20.22,1718115.0,35449176.0
2011-01-12,20.59,20.71,20.76,20.3,873191.0,17944368.0
2011-01-13,20.8,20.5,20.8,20.41,607169.0,12488104.0
2011-01-14,20.49,19.8,20.49,19.8,1100254.0,21962836.0
2011-01-17,19.1,18.73,19.6,18.66,1098780.0,20861052.0
2011-01-18,18.7,19.07,19.07,18.54,680398.0,12864037.0
2011-01-19,19.09,19.46,19.48,18.93,994695.0,19139408.0
2011-01-20,19.4,18.65,19.43,18.65,881259.0,16707208.0
2011-01-21,18.54,18.79,18.95,18.54,679470.0,12736699.0
2011-01-24,18.76,19.05,19.34,18.76,1016574.0,19432742.0
2011-01-25,19.05,19.78,19.78,18.4,1515754.0,29040586.0
2011-01-26,19.59,19.98,20.44,19.45,1695808.0,33970116.0
2011-01-27,19.78,19.79,20.19,19.5,1312878.0,26047662.0
2011-01-28,19.63,19.76,19.95,19.51,847779.0,16741577.0
2011-01-31,19.7,19.78,19.85,19.41,978712.0,19205270.0
2011-02-01,19.76,19.52,19.85,19.48,725925.0,14228402.0
2011-02-09,19.4,19.1,19.52,19.05,887040.0,17109282.0
2011-02-10,19.11,19.85,19.86,19.1,1245678.0,24399358.0
2011-02-11,19.9,20.23,20.26,19.85,1889666.0,38027592.0
2011-02-14,20.33,20.54,20.54,20.18,2022332.0,41233712.0
2011-02-15,20.85,20.4,20.97,20.4,2131475.0,44038548.0
2011-02-16,20.3,20.62,20.66,20.13,1706722.0,34963744.0
2011-02-17,20.82,20.56,20.82,20.41,1416300.0,29133368.0
2011-02-18,20.65,20.17,20.65,20.15,1443281.0,29326650.0
2011-02-21,20.15,20.5,20.5,20.12,1152310.0,23491786.0
2011-02-22,20.5,19.98,20.86,19.96,2119370.0,43318196.0
2011-02-23,19.94,19.77,20.1,19.63,1341271.0,26593524.0
2011-02-24,19.82,19.95,20.02,19.68,811140.0,16126796.0
2011-02-25,19.92,19.5,19.93,19.37,2698021.0,52585548.0
2011-02-28,19.53,19.61,19.63,19.36,2600362.0,50742504.0
2011-03-01,19.63,20.81,21.3,19.62,7162953.0,146952656.0
2011-03-02,20.55,20.56,20.68,20.15,3922077.0,80183536.0
2011-03-03,20.6,20.12,20.61,20.01,2571839.0,52154616.0
2011-03-04,20.11,20.18,20.18,19.85,2267645.0,45310252.0
2011-03-07,20.37,20.54,20.63,20.25,3168422.0,64929228.0
2011-03-08,20.6,20.41,20.67,20.27,1784201.0,36411428.0
2011-03-09,20.42,20.29,20.5,20.19,1657365.0,33603684.0
2011-03-10,20.29,20.04,20.34,20.01,1757095.0,35360332.0
2011-03-11,20.0,20.07,20.3,19.9,1426019.0,28704590.0
2011-03-14,19.99,20.3,20.33,19.95,1564651.0,31576580.0
2011-03-15,20.31,19.86,20.36,19.62,1825153.0,36340088.0
2011-03-16,19.85,20.87,20.92,19.83,7364887.0,151920016.0
2011-03-17,20.5,20.41,20.7,20.33,3752616.0,76943736.0
2011-03-18,20.58,20.69,20.82,20.45,2780945.0,57476464.0
2011-03-21,20.62,20.84,20.99,20.56,2934601.0,61029816.0
2011-03-22,20.9,20.79,20.9,20.49,2418718.0,50057272.0
2011-03-23,20.8,20.71,20.96,20.55,1873130.0,38720916.0
2011-03-24,20.63,20.58,20.78,20.5,1685447.0,34718004.0
2011-03-25,20.49,20.36,20.58,20.21,2478739.0,50410936.0
2011-03-28,20.36,20.18,20.46,20.12,1976839.0,39975840.0
2011-03-29,20.15,19.54,20.15,19.51,2252405.0,44637192.0
2011-03-30,19.5,19.38,19.6,19.16,1334523.0,25828124.0
2011-03-31,19.37,19.42,19.56,19.17,1027214.0,19899588.0
2011-04-01,19.36,19.55,19.56,19.26,653279.0,12699544.0
2011-04-06,19.4,19.38,19.53,19.28,925182.0,17927136.0
2011-04-07,19.33,19.51,19.54,19.31,1205702.0,23429020.0
2011-04-08,19.5,19.68,19.76,19.4,1169009.0,22924612.0
2011-04-11,19.7,19.36,19.73,19.3,1026113.0,20063154.0
2011-04-12,19.36,19.22,19.47,19.15,1052423.0,20293944.0
2011-04-13,19.44,19.4,19.44,19.11,720188.0,13907482.0
2011-04-14,19.41,19.35,19.45,19.3,774441.0,15000225.0
2011-04-18,19.16,19.08,19.35,19.07,998078.0,19140380.0
2011-04-19,19.35,19.22,19.35,18.81,1365062.0,25995390.0
2011-04-20,19.22,20.7,20.7,19.07,7034419.0,141855568.0
2011-04-21,20.85,21.07,21.42,20.45,10808844.0,226849808.0
2011-04-22,20.75,20.35,20.91,20.21,3545190.0,72570592.0
2011-04-25,20.35,20.65,21.31,20.33,4759922.0,99164712.0
2011-04-26,20.5,20.0,20.64,19.8,2193593.0,43988740.0
2011-04-27,20.05,18.8,20.28,18.7,2780123.0,53663372.0
2011-04-28,18.8,17.63,19.0,17.6,2667230.0,48216012.0
2011-04-29,17.63,17.61,17.81,17.11,1443764.0,25065556.0
2011-05-03,17.69,17.91,17.98,17.45,841956.0,14927527.0
2011-05-04,17.92,17.21,17.93,17.2,1075980.0,18752152.0
2011-05-05,17.21,17.38,17.53,17.11,641413.0,11146342.0
2011-05-06,17.38,17.39,17.54,17.21,556550.0,9662859.0
2011-05-09,17.39,17.58,17.78,17.37,697792.0,12267924.0
2011-05-10,17.58,17.66,17.71,17.43,577371.0,10138222.0
2011-05-11,17.66,17.41,17.68,17.36,977161.0,17044872.0
2011-05-12,17.32,16.71,17.32,16.65,1554028.0,26529114.0
2011-05-13,16.7,17.77,17.98,16.65,2512186.0,43473700.0
2011-05-16,17.5,17.67,18.04,17.47,2003422.0,35656284.0
2011-05-17,17.97,17.39,17.97,17.2,1038057.0,18128412.0
2011-05-18,17.54,17.48,17.74,17.39,620329.0,10871961.0
2011-05-19,17.45,17.18,17.6,17.15,671984.0,11648026.0
2011-05-20,17.11,17.13,17.32,17.1,350750.0,6015765.0
2011-05-23,16.86,16.4,17.27,16.4,892946.0,14932893.0
2011-05-24,16.3,16.18,16.4,15.8,1014088.0,16230745.0
2011-05-25,16.18,15.79,16.2,15.72,566488.0,9025926.0
2011-05-26,15.76,15.53,16.18,15.53,591417.0,9343469.0
2011-05-27,15.6,15.03,15.77,14.91,853217.0,12995217.0
2011-05-30,14.85,15.08,15.16,14.85,428899.0,6456858.0
2011-05-31,15.15,15.32,15.35,15.1,539704.0,8229340.0
2011-06-01,15.32,15.56,15.65,15.28,638188.0,9886927.0
2011-06-02,15.18,15.13,15.3,15.0,545588.0,8265384.0
2011-06-03,15.04,15.36,15.48,15.04,515765.0,7902080.0
2011-06-07,15.28,15.82,16.36,15.21,1264148.0,20055332.0
2011-06-08,15.7,15.71,15.84,15.48,672594.0,10528115.0
2011-06-09,15.73,15.39,15.75,15.36,650591.0,10096984.0
2011-06-10,15.26,15.36,15.45,15.2,360213.0,5525815.0
2011-06-13,15.35,15.94,16.05,15.11,1190198.0,18766530.0
2011-06-14,15.8,17.2,17.24,15.72,2847483.0,47039248.0
2011-06-15,17.0,16.51,17.26,16.42,3880608.0,65623940.0
2011-06-16,16.09,15.6,16.34,15.6,1493917.0,23724828.0
2011-06-17,15.5,15.28,15.75,15.26,692308.0,10761708.0
2011-06-20,15.3,15.33,15.4,15.01,541842.0,8236921.0
2011-06-21,15.32,15.51,15.64,15.32,421124.0,6535778.0
2011-06-22,15.48,15.46,15.73,15.4,415910.0,6464890.0
2011-06-23,15.47,15.9,16.1,15.21,1076615.0,17046556.0
2011-06-24,15.9,16.24,16.33,15.68,1354816.0,21850070.0
2011-06-27,16.18,16.26,16.48,16.07,1108767.0,18026828.0
2011-06-28,16.25,16.26,16.3,16.02,750173.0,12119461.0
2011-06-29,16.25,16.11,16.48,16.11,679400.0,11050369.0
2011-06-30,16.08,16.19,16.43,16.08,550116.0,8939457.0
2011-07-01,16.21,16.18,16.4,16.16,762421.0,12387326.0
2011-07-04,16.28,16.58,16.86,16.25,1372264.0,22780680.0
2011-07-05,16.57,16.69,16.78,16.44,1104579.0,18297388.0
2011-07-06,16.64,16.62,16.69,16.44,980712.0,16222916.0
2011-07-07,16.58,16.62,16.95,16.53,1388376.0,23205386.0
2011-07-08,16.63,16.55,16.68,16.48,694012.0,11514299.0
2011-07-11,16.55,16.69,16.8,16.55,808909.0,13508111.0
2011-07-12,16.6,16.15,16.6,16.12,1032229.0,16842800.0
2011-07-13,16.17,16.41,16.49,16.1,934273.0,15242637.0
2011-07-14,16.42,17.19,17.39,16.4,4007524.0,68364096.0
2011-07-15,17.18,17.42,17.51,16.93,2580861.0,44712956.0
2011-07-18,17.39,17.28,17.57,17.26,1663036.0,28977510.0
2011-07-19,17.12,16.9,17.24,16.8,1109966.0,18828046.0
2011-07-20,16.93,17.71,17.98,16.86,2650692.0,46225152.0
2011-07-21,17.58,17.35,17.79,17.34,1564125.0,27462384.0
2011-07-22,17.36,17.5,17.68,17.36,782871.0,13721625.0
2011-07-25,17.42,16.6,17.42,16.55,942348.0,15916662.0
2011-07-26,16.6,16.82,17.0,16.38,477130.0,7962145.0
2011-07-27,16.81,17.03,17.12,16.65,735363.0,12493397.0
2011-07-28,16.96,17.1,17.19,16.67,599431.0,10138351.0
2011-07-29,17.1,17.2,17.35,16.73,644389.0,10978060.0
2011-08-01,17.3,17.35,17.55,17.15,938854.0,16296604.0
2011-08-02,17.4,17.6,17.68,16.84,1425073.0,24685122.0
2011-08-03,17.49,17.54,17.75,17.29,1089147.0,19134188.0
2011-08-04,17.4,17.22,17.66,17.22,696060.0,12117077.0
2011-08-05,16.76,16.98,17.3,16.52,1001375.0,16888200.0
2011-08-08,16.6,15.98,17.0,15.6,1153789.0,18732268.0
2011-08-09,15.6,15.65,15.79,15.11,1052367.0,16301588.0
2011-08-10,15.88,15.71,16.05,15.7,715943.0,11357703.0
2011-08-11,15.39,15.91,16.0,15.25,799619.0,12612422.0
2011-08-12,16.05,16.09,16.3,16.0,619623.0,10004554.0
2011-08-15,16.13,16.19,16.28,15.96,862024.0,13878828.0
2011-08-16,16.19,16.2,16.31,16.15,708060.0,11486825.0
2011-08-17,16.25,17.13,17.38,16.18,2192821.0,37158460.0
2011-08-18,16.83,16.36,16.98,16.33,1350056.0,22506760.0
2011-08-19,16.2,16.03,16.2,15.81,787456.0,12544060.0
2011-08-22,16.04,16.18,16.21,16.0,412396.0,6646226.0
2011-08-23,16.22,16.5,16.55,16.17,573150.0,9416198.0
2011-08-24,16.59,16.47,16.72,16.42,534051.0,8862082.0
2011-08-25,16.47,16.69,16.73,16.4,684789.0,11388401.0
2011-08-26,16.73,16.83,16.93,16.6,696545.0,11660271.0
2011-08-29,16.8,16.55,16.8,16.55,460107.0,7662865.0
2011-08-30,16.6,16.78,17.1,16.6,1514308.0,25514744.0
2011-08-31,16.66,17.57,17.65,16.51,3689398.0,63373508.0
2011-09-01,17.56,16.9,17.57,16.9,3762498.0,65056224.0
2011-09-02,16.77,16.2,16.77,16.01,1652755.0,27045944.0
2011-09-05,16.13,15.8,16.13,15.8,593661.0,9461048.0
2011-09-06,15.8,15.84,16.0,15.7,352455.0,5595472.0
2011-09-07,15.98,16.03,16.15,15.98,833009.0,13360224.0
2011-09-08,16.17,15.87,16.17,15.87,352630.0,5649503.0
2011-09-09,15.92,15.82,16.06,15.8,226075.0,3593824.0
2011-09-13,15.78,15.48,15.78,15.3,503440.0,7776508.0
2011-09-14,15.5,15.71,15.94,15.4,435610.0,6788872.0
2011-09-15,15.76,15.76,16.12,15.6,437971.0,6969203.0
2011-09-16,15.81,15.73,15.99,15.68,279354.0,4408821.0
2011-09-19,15.73,15.36,15.73,15.36,323291.0,5000169.0
2011-09-20,15.38,15.45,15.63,15.31,242305.0,3752444.0
2011-09-21,15.41,15.84,15.9,15.4,516431.0,8128134.0
2011-09-22,15.61,15.49,15.84,15.49,351770.0,5509013.0
2011-09-23,15.4,15.3,15.48,15.12,293686.0,4496496.0
2011-09-26,15.25,15.24,15.42,15.2,194677.0,2981734.0
2011-09-27,15.29,15.35,15.46,15.23,242291.0,3710763.0
2011-09-28,15.4,15.15,15.46,15.13,204684.0,3125090.0
2011-09-29,15.11,14.48,15.16,14.48,403104.0,5961545.0
2011-09-30,14.52,14.47,14.65,14.15,241658.0,3489785.0
2011-10-10,14.48,14.25,14.59,14.22,174800.0,2521727.0
2011-10-11,14.46,14.43,14.66,14.26,190432.0,2757527.0
2011-10-12,14.4,14.85,14.9,14.15,408825.0,6000655.0
2011-10-13,14.83,14.95,15.17,14.68,391322.0,5859769.0
2011-10-14,14.99,14.81,14.99,14.66,274192.0,4063758.0
2011-10-17,14.85,15.44,15.49,14.8,1263334.0,19233806.0
2011-10-18,15.4,14.84,15.4,14.83,844270.0,12831045.0
2011-10-19,14.85,14.65,15.0,14.41,340364.0,5015049.0
2011-10-20,14.47,14.35,14.71,14.18,360161.0,5174990.0
2011-10-21,14.3,14.28,14.45,14.21,239641.0,3435831.0
2011-10-24,14.18,14.44,14.48,13.96,325316.0,4639854.0
2011-10-25,14.43,14.66,14.77,14.32,427868.0,6234670.0
2011-10-26,14.52,14.71,14.88,14.52,467296.0,6895466.0
2011-10-27,14.54,14.72,14.85,14.52,341724.0,5042226.0
2011-10-28,14.89,15.04,15.15,14.8,842567.0,12643837.0
2011-10-31,15.58,15.09,15.58,14.92,822424.0,12433921.0
2011-11-01,14.99,14.97,15.03,14.7,584405.0,8702748.0
2011-11-02,14.72,15.17,15.2,14.7,681543.0,10207575.0
2011-11-03,15.34,15.26,15.58,15.15,1113442.0,17097418.0
2011-11-04,15.26,15.39,15.43,15.1,833208.0,12725495.0
2011-11-07,15.39,15.22,15.42,15.2,551619.0,8429141.0
2011-11-08,15.21,15.04,15.27,15.0,455602.0,6906295.0
2011-11-09,15.04,15.29,15.37,15.04,473125.0,7194621.0
2011-11-10,15.2,15.11,15.23,15.03,501025.0,7584119.0
2011-11-11,15.11,15.16,15.33,15.06,430658.0,6534246.0
2011-11-14,15.3,15.41,15.45,15.2,1073451.0,16502265.0
2011-11-15,15.4,15.86,16.08,15.34,1961220.0,30907306.0
