date,open,close,high,low,volume,money
2005-01-04,4.86,4.77,4.86,4.68,850399.0,4042124.0
2005-01-05,4.76,4.8,4.85,4.71,1003140.0,4801434.0
2005-01-06,4.85,4.8,4.85,4.75,641160.0,3073377.0
2005-01-07,4.78,4.77,4.84,4.71,826740.0,3935033.0
2005-01-10,4.8,4.8,4.81,4.7,595674.0,2825664.0
2005-01-11,4.83,4.8,4.83,4.73,481289.0,2296915.0
2005-01-12,4.79,4.8,4.81,4.77,547880.0,2625349.0
2005-01-13,4.8,4.8,4.81,4.78,501311.0,2402882.0
2005-01-14,4.76,4.79,4.82,4.75,722680.0,3461156.0
2005-01-17,4.8,4.7,4.8,4.65,1069692.0,5013889.0
2005-01-18,4.7,4.55,4.72,4.45,2378109.0,10821739.0
2005-01-19,4.5,4.52,4.57,4.45,829407.0,3736602.0
2005-01-20,4.5,4.56,4.58,4.47,1269808.0,5755615.0
2005-01-21,4.52,4.69,4.71,4.44,2562287.0,11791796.0
2005-01-24,4.8,4.84,4.85,4.67,2215677.0,10567624.0
2005-01-25,4.84,4.83,4.85,4.75,2223252.0,10691054.0
2005-01-26,4.83,4.83,4.85,4.75,2080581.0,9995277.0
2005-01-27,4.83,4.83,4.86,4.78,2682716.0,12959341.0
2005-01-28,4.8,4.75,4.82,4.7,1747440.0,8292446.0
2005-01-31,4.7,4.69,4.76,4.65,1650366.0,7765899.0
2005-02-01,4.61,4.74,4.74,4.61,1437456.0,6731135.0
2005-02-02,4.7,4.97,4.97,4.7,3606945.0,17598385.0
2005-02-03,5.0,4.82,5.02,4.8,2972860.0,14631829.0
2005-02-04,4.8,4.99,5.02,4.8,2635063.0,13098138.0
2005-02-16,5.1,5.05,5.12,5.01,1918634.0,9703714.0
2005-02-17,5.05,5.2,5.21,4.96,3971193.0,20362081.0
2005-02-18,5.19,5.09,5.19,5.07,1745210.0,8927886.0
2005-02-21,5.08,5.13,5.15,5.06,1531572.0,7813144.0
2005-02-22,5.17,5.21,5.25,5.12,3554901.0,18445803.0
2005-02-23,5.24,5.18,5.24,5.13,2225204.0,11515194.0
2005-02-24,5.16,5.14,5.16,5.07,2349320.0,12001755.0
2005-02-25,5.13,5.2,5.26,5.12,4553917.0,23738390.0
2005-02-28,5.22,5.24,5.36,5.18,5023256.0,26557487.0
2005-03-01,5.24,5.2,5.25,5.17,1554642.0,8084414.0
2005-03-02,5.2,5.15,5.28,5.15,3026744.0,15727353.0
2005-03-03,5.12,5.18,5.19,5.11,1452447.0,7491831.0
2005-03-04,5.18,5.2,5.22,5.15,1427146.0,7413751.0
2005-03-07,5.2,5.25,5.34,5.19,2488518.0,13170089.0
2005-03-08,5.25,5.5,5.56,5.23,9095730.0,49565978.0
2005-03-09,5.53,5.52,5.62,5.47,6830943.0,37814096.0
2005-03-10,5.5,5.46,5.53,5.4,4852326.0,26503288.0
2005-03-11,5.51,5.69,5.7,5.4,6783694.0,37975450.0
2005-03-14,5.67,5.71,5.79,5.58,5865708.0,33350448.0
2005-03-15,5.7,5.57,5.75,5.55,4057210.0,22758585.0
2005-03-16,5.56,5.58,5.65,5.45,5290068.0,29369519.0
2005-03-17,5.58,5.47,5.58,5.4,3029640.0,16664940.0
2005-03-18,5.45,5.35,5.49,5.19,5395924.0,28591871.0
2005-03-21,5.28,5.39,5.42,5.22,1741210.0,9316081.0
2005-03-22,5.33,5.38,5.41,5.21,2644025.0,14024020.0
2005-03-23,5.35,5.54,5.61,5.32,3080593.0,16964519.0
2005-03-24,5.54,5.6,5.64,5.48,3023332.0,16790602.0
2005-03-25,5.6,5.54,5.62,5.53,1235392.0,6881767.0
2005-03-28,5.5,5.51,5.53,5.35,2377678.0,12951685.0
2005-03-29,5.5,5.4,5.58,5.36,2361364.0,12853678.0
2005-03-30,5.38,5.3,5.38,5.25,2030392.0,10791591.0
2005-03-31,5.22,5.37,5.39,5.22,1403649.0,7474425.0
2005-04-01,5.35,5.66,5.68,5.25,2479984.0,13662227.0
2005-04-04,5.56,5.49,5.61,5.45,1138309.0,6294032.0
2005-04-05,5.46,5.52,5.58,5.46,953028.0,5262346.0
2005-04-06,5.55,5.71,5.76,5.52,3792548.0,21523263.0
2005-04-07,5.75,5.66,6.0,5.65,7196119.0,42165566.0
2005-04-08,5.68,5.79,5.84,5.68,5139470.0,29696633.0
