净值日期,Unnamed: 0,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2008-05-19,35,1.442,3.123,-0.07,开放申购,开放赎回,
2008-05-20,34,1.4,3.0810000000000004,-2.91,开放申购,开放赎回,
2008-05-21,33,1.4169999999999998,3.0980000000000003,1.21,开放申购,开放赎回,
2008-05-22,32,1.4069999999999998,3.088,-0.71,开放申购,开放赎回,
2008-05-23,31,1.395,3.076,-0.85,开放申购,开放赎回,
2008-05-26,30,1.366,3.047,-2.08,开放申购,开放赎回,
2008-05-27,29,1.37,3.051,0.29,开放申购,开放赎回,
2008-05-28,28,1.392,3.073,1.61,开放申购,开放赎回,
2008-05-29,27,1.372,3.053,-1.44,开放申购,开放赎回,
2008-05-30,26,1.3730000000000002,3.054,0.07,开放申购,开放赎回,
2008-06-02,25,1.37,3.051,-0.22,开放申购,开放赎回,
2008-06-03,24,1.371,3.052,0.07,开放申购,开放赎回,
2008-06-04,23,1.362,3.043,-0.66,开放申购,开放赎回,
2008-06-05,22,1.349,3.03,-0.95,开放申购,开放赎回,
2008-06-06,21,1.345,3.026,-0.3,开放申购,开放赎回,
2008-06-10,20,1.2919999999999998,2.9730000000000003,-3.94,开放申购,开放赎回,
2008-06-11,19,1.283,2.964,-0.7,开放申购,开放赎回,
2008-06-12,18,1.267,2.948,-1.25,开放申购,开放赎回,
2008-06-13,17,1.241,2.922,-2.05,开放申购,开放赎回,
2008-06-16,16,1.23,2.911,-0.89,开放申购,开放赎回,
2008-06-17,15,1.21,2.891,-1.63,开放申购,开放赎回,
2008-06-18,14,1.244,2.925,2.81,开放申购,开放赎回,
2008-06-19,13,1.196,2.877,-3.86,开放申购,开放赎回,
2008-06-20,12,1.209,2.89,1.09,开放申购,开放赎回,
2008-06-23,11,1.189,2.87,-1.65,开放申购,开放赎回,
2008-06-24,10,1.212,2.893,1.93,开放申购,开放赎回,
2008-06-25,9,1.25,2.931,3.14,开放申购,开放赎回,
2008-06-26,8,1.26,2.9410000000000003,0.8,开放申购,开放赎回,
2008-06-27,7,1.225,2.906,-2.78,开放申购,开放赎回,
2008-06-30,6,1.22,2.901,-0.41,开放申购,开放赎回,
2008-07-01,5,1.193,2.874,-2.21,开放申购,开放赎回,
2008-07-02,4,1.195,2.8760000000000003,0.17,开放申购,开放赎回,
2008-07-03,3,1.214,2.895,1.59,开放申购,开放赎回,
2008-07-04,2,1.205,2.886,-0.74,开放申购,开放赎回,
2008-07-07,1,1.247,2.928,3.49,开放申购,开放赎回,
2008-07-08,0,1.257,2.938,0.8,开放申购,开放赎回,
2008-07-09,39,1.286,2.967,2.31,开放申购,开放赎回,
2008-07-10,38,1.281,2.962,-0.39,开放申购,开放赎回,
2008-07-11,37,1.275,2.9560000000000004,-0.47,开放申购,开放赎回,
2008-07-14,36,1.283,2.964,0.63,开放申购,开放赎回,
2008-07-15,35,1.252,2.9330000000000003,-2.42,开放申购,开放赎回,
2008-07-16,34,1.229,2.91,-1.84,开放申购,开放赎回,
2008-07-17,33,1.223,2.904,-0.49,开放申购,开放赎回,
2008-07-18,32,1.242,2.923,1.55,开放申购,开放赎回,
2008-07-21,31,1.278,2.959,2.9,开放申购,开放赎回,
2008-07-22,30,1.277,2.958,-0.08,开放申购,开放赎回,
2008-07-23,29,1.268,2.949,-0.7,开放申购,开放赎回,
2008-07-24,28,1.29,2.971,1.74,开放申购,开放赎回,
2008-07-25,27,1.28,2.9610000000000003,-0.78,开放申购,开放赎回,
2008-07-28,26,1.279,2.96,-0.08,开放申购,开放赎回,
2008-07-29,25,1.271,2.952,-0.63,开放申购,开放赎回,
2008-07-30,24,1.263,2.944,-0.63,开放申购,开放赎回,
2008-07-31,23,1.244,2.925,-1.5,开放申购,开放赎回,
2008-08-01,22,1.243,2.924,-0.08,开放申购,开放赎回,
2008-08-04,21,1.222,2.903,-1.69,开放申购,开放赎回,
2008-08-05,20,1.202,2.883,-1.64,开放申购,开放赎回,
2008-08-06,19,1.198,2.879,-0.33,开放申购,开放赎回,
2008-08-07,18,1.195,2.8760000000000003,-0.25,开放申购,开放赎回,
2008-08-08,17,1.173,2.854,-1.84,开放申购,开放赎回,
2008-08-11,16,1.142,2.823,-2.64,开放申购,开放赎回,
2008-08-12,15,1.147,2.8280000000000003,0.44,开放申购,开放赎回,
2008-08-13,14,1.156,2.837,0.78,开放申购,开放赎回,
2008-08-14,13,1.161,2.842,0.43,开放申购,开放赎回,
2008-08-15,12,1.152,2.833,-0.78,开放申购,开放赎回,
2008-08-18,11,1.116,2.797,-3.13,开放申购,开放赎回,
2008-08-19,10,1.122,2.803,0.54,开放申购,开放赎回,
2008-08-20,9,1.167,2.8480000000000003,4.01,开放申购,开放赎回,
2008-08-21,8,1.141,2.822,-2.23,开放申购,开放赎回,
2008-08-22,7,1.131,2.812,-0.88,开放申购,开放赎回,
2008-08-25,6,1.129,2.81,-0.18,开放申购,开放赎回,
2008-08-26,5,1.104,2.785,-2.21,开放申购,开放赎回,
2008-08-27,4,1.095,2.776,-0.82,开放申购,开放赎回,
2008-08-28,3,1.093,2.774,-0.18,开放申购,开放赎回,
2008-08-29,2,1.108,2.789,1.37,开放申购,开放赎回,
2008-09-01,1,1.081,2.762,-2.44,开放申购,开放赎回,
2008-09-02,0,1.064,2.745,-1.57,开放申购,开放赎回,
2008-09-03,39,1.041,2.722,-2.16,开放申购,开放赎回,
2008-09-04,38,1.043,2.724,0.19,开放申购,开放赎回,
2008-09-05,37,1.023,2.704,-1.92,开放申购,开放赎回,
2008-09-08,36,1.002,2.6830000000000003,-2.05,开放申购,开放赎回,
2008-09-09,35,0.999,2.68,-0.3,开放申购,开放赎回,
2008-09-10,34,0.997,2.678,-0.2,开放申购,开放赎回,
2008-09-11,33,0.979,2.66,-1.81,开放申购,开放赎回,
2008-09-12,32,0.982,2.6630000000000003,0.31,开放申购,开放赎回,
2008-09-16,31,0.97,2.651,-1.22,开放申购,开放赎回,
2008-09-17,30,0.957,2.638,-1.34,开放申购,开放赎回,
2008-09-18,29,0.941,2.622,-1.67,开放申购,开放赎回,
2008-09-19,28,1.0,2.681,6.27,开放申购,开放赎回,
2008-09-22,27,1.032,2.713,3.2,开放申购,开放赎回,
2008-09-23,26,0.996,2.677,-3.49,限制大额申购,开放赎回,
2008-09-24,25,1.001,2.682,0.5,限制大额申购,开放赎回,
2008-09-25,24,1.027,2.708,2.6,限制大额申购,开放赎回,
2008-09-26,23,1.043,2.724,1.56,限制大额申购,开放赎回,
2008-09-30,22,1.042,2.7230000000000003,-0.1,限制大额申购,开放赎回,
2008-10-06,21,1.011,2.692,-2.98,限制大额申购,开放赎回,
2008-10-07,20,0.995,2.676,-1.58,限制大额申购,开放赎回,
2008-10-08,19,0.971,2.652,-2.41,限制大额申购,开放赎回,
2008-10-09,18,0.952,2.633,-1.96,限制大额申购,开放赎回,
2008-10-10,17,0.91,2.591,-4.41,限制大额申购,开放赎回,
2008-10-13,16,0.925,2.6060000000000003,1.65,限制大额申购,开放赎回,
2008-10-14,15,0.906,2.587,-2.05,限制大额申购,开放赎回,
2008-10-15,14,0.892,2.573,-1.55,限制大额申购,开放赎回,
2008-10-16,13,0.8640000000000001,2.545,-3.14,限制大额申购,开放赎回,
2008-10-17,12,0.867,2.548,0.35,限制大额申购,开放赎回,
2008-10-20,11,0.8859999999999999,2.567,2.19,限制大额申购,开放赎回,
2008-10-21,10,0.8859999999999999,2.567,0.0,限制大额申购,开放赎回,
2008-10-22,9,0.879,2.56,-0.79,限制大额申购,开放赎回,
2008-10-23,8,0.888,2.569,1.02,限制大额申购,开放赎回,
2008-10-24,7,0.873,2.5540000000000003,-1.69,限制大额申购,开放赎回,
2008-10-27,6,0.8390000000000001,2.52,-3.89,限制大额申购,开放赎回,
2008-10-28,5,0.856,2.537,2.03,限制大额申购,开放赎回,
2008-10-29,4,0.843,2.524,-1.52,限制大额申购,开放赎回,
2008-10-30,3,0.853,2.5340000000000003,1.19,限制大额申购,开放赎回,
2008-10-31,2,0.846,2.527,-0.82,限制大额申购,开放赎回,
2008-11-03,1,0.84,2.521,-0.71,限制大额申购,开放赎回,
2008-11-04,0,0.828,2.509,-1.43,限制大额申购,开放赎回,
2008-11-05,39,0.843,2.524,1.81,限制大额申购,开放赎回,
2008-11-06,38,0.828,2.509,-1.78,限制大额申购,开放赎回,
2008-11-07,37,0.8270000000000001,2.508,-0.12,限制大额申购,开放赎回,
2008-11-10,36,0.8590000000000001,2.54,3.87,限制大额申购,开放赎回,
2008-11-11,35,0.855,2.536,-0.47,限制大额申购,开放赎回,
2008-11-12,34,0.857,2.5380000000000003,0.23,限制大额申购,开放赎回,
2008-11-13,33,0.879,2.56,2.57,限制大额申购,开放赎回,
2008-11-14,32,0.903,2.584,2.73,限制大额申购,开放赎回,
2008-11-17,31,0.92,2.6010000000000004,1.88,限制大额申购,开放赎回,
2008-11-18,30,0.893,2.574,-2.93,限制大额申购,开放赎回,
2008-11-19,29,0.92,2.6010000000000004,3.02,限制大额申购,开放赎回,
2008-11-20,28,0.916,2.597,-0.43,限制大额申购,开放赎回,
2008-11-21,27,0.915,2.596,-0.11,限制大额申购,开放赎回,
2008-11-24,26,0.901,2.582,-1.53,限制大额申购,开放赎回,
2008-11-25,25,0.903,2.584,0.22,限制大额申购,开放赎回,
2008-11-26,24,0.904,2.585,0.11,限制大额申购,开放赎回,
2008-11-27,23,0.916,2.597,1.33,限制大额申购,开放赎回,
2008-11-28,22,0.918,2.599,0.22,限制大额申购,开放赎回,
2008-12-01,21,0.927,2.608,0.98,限制大额申购,开放赎回,
2008-12-02,20,0.93,2.611,0.32,限制大额申购,开放赎回,
2008-12-03,19,0.948,2.629,1.94,限制大额申购,开放赎回,
2008-12-04,18,0.956,2.637,0.84,限制大额申购,开放赎回,
2008-12-05,17,0.963,2.644,0.73,限制大额申购,开放赎回,
2008-12-08,16,0.981,2.662,1.87,限制大额申购,开放赎回,
2008-12-09,15,0.968,2.649,-1.33,限制大额申购,开放赎回,
2008-12-10,14,0.979,2.66,1.14,限制大额申购,开放赎回,
2008-12-11,13,0.966,2.647,-1.33,限制大额申购,开放赎回,
2008-12-12,12,0.944,2.625,-2.28,限制大额申购,开放赎回,
2008-12-15,11,0.951,2.632,0.74,限制大额申购,开放赎回,
2008-12-16,10,0.965,2.6460000000000004,1.47,限制大额申购,开放赎回,
2008-12-17,9,0.972,2.653,0.73,限制大额申购,开放赎回,
2008-12-18,8,0.982,2.6630000000000003,1.03,限制大额申购,开放赎回,
2008-12-19,7,0.989,2.67,0.71,限制大额申购,开放赎回,
2008-12-22,6,0.981,2.662,-0.81,限制大额申购,开放赎回,
2008-12-23,5,0.952,2.633,-2.96,限制大额申购,开放赎回,
2008-12-24,4,0.944,2.625,-0.84,限制大额申购,开放赎回,
2008-12-25,3,0.94,2.6210000000000004,-0.42,限制大额申购,开放赎回,
2008-12-26,2,0.937,2.6180000000000003,-0.32,限制大额申购,开放赎回,
2008-12-29,1,0.946,2.627,0.96,限制大额申购,开放赎回,
2008-12-30,0,0.946,2.627,0.0,限制大额申购,开放赎回,
2008-12-31,39,0.943,2.624,-0.32,限制大额申购,开放赎回,
2009-01-05,38,0.969,2.65,2.76,限制大额申购,开放赎回,
2009-01-06,37,0.984,2.665,1.55,限制大额申购,开放赎回,
2009-01-07,36,0.982,2.6630000000000003,-0.2,限制大额申购,开放赎回,
2009-01-08,35,0.965,2.6460000000000004,-1.73,限制大额申购,开放赎回,
2009-01-09,34,0.98,2.661,1.55,限制大额申购,开放赎回,
2009-01-12,33,0.984,2.665,0.41,限制大额申购,开放赎回,
2009-01-13,32,0.962,2.643,-2.24,限制大额申购,开放赎回,
2009-01-14,31,0.993,2.674,3.22,开放申购,开放赎回,
2009-01-15,30,0.995,2.676,0.2,开放申购,开放赎回,
2009-01-16,29,1.004,2.685,0.9,开放申购,开放赎回,
2009-01-19,28,1.005,2.6860000000000004,0.1,开放申购,开放赎回,
2009-01-20,27,1.006,2.687,0.1,开放申购,开放赎回,
2009-01-21,26,1.0,2.681,-0.6,开放申购,开放赎回,
2009-01-22,25,1.007,2.688,0.7,开放申购,开放赎回,
2009-01-23,24,1.009,2.69,0.2,开放申购,开放赎回,
2009-02-02,23,1.027,2.708,1.78,开放申购,开放赎回,
2009-02-03,22,1.045,2.7260000000000004,1.75,开放申购,开放赎回,
2009-02-04,21,1.055,2.736,0.96,开放申购,开放赎回,
2009-02-05,20,1.045,2.7260000000000004,-0.95,开放申购,开放赎回,
2009-02-06,19,1.07,2.7510000000000003,2.39,开放申购,开放赎回,
2009-02-09,18,1.088,2.769,1.68,开放申购,开放赎回,
2009-02-10,17,1.095,2.776,0.64,开放申购,开放赎回,
2009-02-11,16,1.098,2.779,0.27,开放申购,开放赎回,
2009-02-12,15,1.109,2.79,1.0,开放申购,开放赎回,
2009-02-13,14,1.133,2.814,2.16,开放申购,开放赎回,
2009-02-16,13,1.136,2.817,0.26,开放申购,开放赎回,
2009-02-17,12,1.102,2.783,-2.99,开放申购,开放赎回,
2009-02-18,11,1.074,2.755,-2.54,开放申购,开放赎回,
2009-02-19,10,1.092,2.773,1.68,开放申购,开放赎回,
2009-02-20,9,1.108,2.789,1.47,开放申购,开放赎回,
2009-02-23,8,1.135,2.8160000000000003,2.44,开放申购,开放赎回,
2009-02-24,7,1.098,2.779,-3.26,开放申购,开放赎回,
2009-02-25,6,1.089,2.77,-0.82,开放申购,开放赎回,
2009-02-26,5,1.039,2.72,-4.59,开放申购,开放赎回,
2009-02-27,4,1.019,2.7,-1.92,开放申购,开放赎回,
2009-03-02,3,1.04,2.721,2.06,开放申购,开放赎回,
2009-03-03,2,1.045,2.7260000000000004,0.48,开放申购,开放赎回,
2009-03-04,1,1.094,2.775,4.69,开放申购,开放赎回,
2009-03-05,0,1.092,2.773,-0.18,开放申购,开放赎回,
2009-03-06,39,1.092,2.773,0.0,开放申购,开放赎回,
2009-03-09,38,1.057,2.738,-3.21,开放申购,开放赎回,
2009-03-10,37,1.07,2.7510000000000003,1.23,开放申购,开放赎回,
2009-03-11,36,1.06,2.741,-0.93,开放申购,开放赎回,
2009-03-12,35,1.057,2.738,-0.28,开放申购,开放赎回,
2009-03-13,34,1.056,2.737,-0.09,开放申购,开放赎回,
2009-03-16,33,1.07,2.7510000000000003,1.33,开放申购,开放赎回,
2009-03-17,32,1.104,2.785,3.18,开放申购,开放赎回,
2009-03-18,31,1.114,2.795,0.91,开放申购,开放赎回,
2009-03-19,30,1.127,2.8080000000000003,1.17,开放申购,开放赎回,
2009-03-20,29,1.116,2.797,-0.98,开放申购,开放赎回,
2009-03-23,28,1.138,2.819,1.97,开放申购,开放赎回,
2009-03-24,27,1.145,2.826,0.62,开放申购,开放赎回,
2009-03-25,26,1.124,2.805,-1.83,开放申购,开放赎回,
2009-03-26,25,1.142,2.823,1.6,开放申购,开放赎回,
2009-03-27,24,1.149,2.83,0.61,开放申购,开放赎回,
2009-03-30,23,1.145,2.826,-0.35,开放申购,开放赎回,
2009-03-31,22,1.159,2.84,1.22,开放申购,开放赎回,
2009-04-01,21,1.1740000000000002,2.855,1.29,开放申购,开放赎回,
2009-04-02,20,1.1840000000000002,2.865,0.85,开放申购,开放赎回,
2009-04-03,19,1.185,2.866,0.08,开放申购,开放赎回,
2009-04-07,18,1.181,2.862,-0.34,开放申购,开放赎回,
2009-04-08,17,1.146,2.827,-2.96,开放申购,开放赎回,
2009-04-09,16,1.162,2.843,1.4,开放申购,开放赎回,
2009-04-10,15,1.197,2.878,3.01,开放申购,开放赎回,
2009-04-13,14,1.215,2.8960000000000004,1.5,开放申购,开放赎回,
2009-04-14,13,1.236,2.917,1.73,开放申购,开放赎回,
2009-04-15,12,1.236,2.917,0.0,开放申购,开放赎回,
2009-04-16,11,1.229,2.91,-0.57,开放申购,开放赎回,
2009-04-17,10,1.219,2.9,-0.81,开放申购,开放赎回,
2009-04-20,9,1.242,2.923,1.89,开放申购,开放赎回,
2009-04-21,8,1.228,2.909,-1.13,开放申购,开放赎回,
2009-04-22,7,1.189,2.87,-3.18,开放申购,开放赎回,
2009-04-23,6,1.2,2.881,0.93,开放申购,开放赎回,
2009-04-24,5,1.198,2.879,-0.17,开放申购,开放赎回,
2009-04-27,4,1.166,2.847,-2.67,开放申购,开放赎回,
2009-04-28,3,1.17,2.8510000000000004,0.34,开放申购,开放赎回,
2009-04-29,2,1.21,2.891,3.42,开放申购,开放赎回,
2009-04-30,1,1.238,2.919,2.31,开放申购,开放赎回,
2009-05-04,0,1.274,2.955,2.91,开放申购,开放赎回,
2009-05-05,39,1.28,2.9610000000000003,0.47,开放申购,开放赎回,
2009-05-06,38,1.298,2.979,1.41,开放申购,开放赎回,
2009-05-07,37,1.2919999999999998,2.9730000000000003,-0.46,开放申购,开放赎回,
2009-05-08,36,1.296,2.977,0.31,开放申购,开放赎回,
2009-05-11,35,1.264,2.945,-2.47,开放申购,开放赎回,
2009-05-12,34,1.29,2.971,2.06,开放申购,开放赎回,
2009-05-13,33,1.293,2.974,0.23,开放申购,开放赎回,
2009-05-14,32,1.29,2.971,-0.23,开放申购,开放赎回,
2009-05-15,31,1.295,2.9760000000000004,0.39,开放申购,开放赎回,
2009-05-18,30,1.294,2.975,-0.08,开放申购,开放赎回,
2009-05-19,29,1.304,2.985,0.77,开放申购,开放赎回,
2009-05-20,28,1.301,2.982,-0.23,开放申购,开放赎回,
