净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2016-05-17,1.154,1.154,0.0,开放申购,开放赎回,nan
2016-05-18,1.154,1.154,0.0,开放申购,开放赎回,nan
2016-05-19,1.154,1.154,0.0,开放申购,开放赎回,nan
2016-05-20,1.153,1.153,-0.09,开放申购,开放赎回,nan
2016-05-23,1.153,1.153,0.0,开放申购,开放赎回,nan
2016-05-24,1.154,1.154,0.09,开放申购,开放赎回,nan
2016-05-25,1.155,1.155,0.09,开放申购,开放赎回,nan
2016-05-26,1.154,1.154,-0.09,开放申购,开放赎回,nan
2016-05-27,1.155,1.155,0.09,开放申购,开放赎回,nan
2016-05-30,1.157,1.157,0.17,开放申购,开放赎回,nan
2016-05-31,1.156,1.156,-0.09,开放申购,开放赎回,nan
2016-06-01,1.156,1.156,0.0,开放申购,开放赎回,nan
2016-06-02,1.155,1.155,-0.09,开放申购,开放赎回,nan
2016-06-03,1.155,1.155,0.0,开放申购,开放赎回,nan
2016-06-06,1.156,1.156,0.09,开放申购,开放赎回,nan
2016-06-07,1.156,1.156,0.0,开放申购,开放赎回,nan
2016-06-08,1.157,1.157,0.09,开放申购,开放赎回,nan
2016-06-13,1.158,1.158,0.09,开放申购,开放赎回,nan
2016-06-14,1.158,1.158,0.0,开放申购,开放赎回,nan
2016-06-15,1.159,1.159,0.09,开放申购,开放赎回,nan
2016-06-16,1.159,1.159,0.0,开放申购,开放赎回,nan
2016-06-17,1.16,1.16,0.09,开放申购,开放赎回,nan
2016-06-20,1.161,1.161,0.09,开放申购,开放赎回,nan
2016-06-21,1.161,1.161,0.0,开放申购,开放赎回,nan
2016-06-22,1.161,1.161,0.0,开放申购,开放赎回,nan
2016-06-23,1.161,1.161,0.0,开放申购,开放赎回,nan
2016-06-24,1.162,1.162,0.09,开放申购,开放赎回,nan
2016-06-27,1.163,1.163,0.09,开放申购,开放赎回,nan
2016-06-28,1.164,1.164,0.09,开放申购,开放赎回,nan
2016-06-29,1.164,1.164,0.0,开放申购,开放赎回,nan
2016-06-30,1.165,1.165,0.09,开放申购,开放赎回,nan
2016-07-01,1.166,1.166,0.09,开放申购,开放赎回,nan
2016-07-04,1.167,1.167,0.09,开放申购,开放赎回,nan
2016-07-05,1.167,1.167,0.0,开放申购,开放赎回,nan
2016-07-06,1.167,1.167,0.0,开放申购,开放赎回,nan
2016-07-07,1.168,1.168,0.09,开放申购,开放赎回,nan
2016-07-08,1.169,1.169,0.09,开放申购,开放赎回,nan
2016-07-11,1.169,1.169,0.0,开放申购,开放赎回,nan
2016-07-12,1.169,1.169,0.0,开放申购,开放赎回,nan
2016-07-13,1.169,1.169,0.0,开放申购,开放赎回,nan
2016-07-14,1.169,1.169,0.0,开放申购,开放赎回,nan
2016-07-15,1.17,1.17,0.09,开放申购,开放赎回,nan
2016-07-18,1.17,1.17,0.0,开放申购,开放赎回,nan
2016-07-19,1.171,1.171,0.09,开放申购,开放赎回,nan
2016-07-20,1.171,1.171,0.0,开放申购,开放赎回,nan
2016-07-21,1.172,1.172,0.09,开放申购,开放赎回,nan
2016-07-22,1.172,1.172,0.0,开放申购,开放赎回,nan
2016-07-25,1.172,1.172,0.0,开放申购,开放赎回,nan
2016-07-26,1.173,1.173,0.09,开放申购,开放赎回,nan
2016-07-27,1.173,1.173,0.0,开放申购,开放赎回,nan
2016-07-28,1.173,1.173,0.0,开放申购,开放赎回,nan
2016-07-29,1.174,1.174,0.09,开放申购,开放赎回,nan
2016-08-01,1.175,1.175,0.09,开放申购,开放赎回,nan
2016-08-02,1.175,1.175,0.0,开放申购,开放赎回,nan
2016-08-03,1.176,1.176,0.09,开放申购,开放赎回,nan
2016-08-04,1.176,1.176,0.0,开放申购,开放赎回,nan
2016-08-05,1.177,1.177,0.09,开放申购,开放赎回,nan
2016-08-08,1.178,1.178,0.09,开放申购,开放赎回,nan
2016-08-09,1.179,1.179,0.08,开放申购,开放赎回,nan
2016-08-10,1.18,1.18,0.08,开放申购,开放赎回,nan
2016-08-11,1.18,1.18,0.0,开放申购,开放赎回,nan
2016-08-12,1.181,1.181,0.08,开放申购,开放赎回,nan
2016-08-15,1.184,1.184,0.25,开放申购,开放赎回,nan
2016-08-16,1.183,1.183,-0.08,开放申购,开放赎回,nan
2016-08-17,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-08-18,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-08-19,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-08-22,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-08-23,1.182,1.182,-0.08,开放申购,开放赎回,nan
2016-08-24,1.181,1.181,-0.08,开放申购,开放赎回,nan
2016-08-25,1.181,1.181,0.0,开放申购,开放赎回,nan
2016-08-26,1.181,1.181,0.0,开放申购,开放赎回,nan
2016-08-29,1.182,1.182,0.08,开放申购,开放赎回,nan
2016-08-30,1.181,1.181,-0.08,开放申购,开放赎回,nan
2016-08-31,1.182,1.182,0.08,开放申购,开放赎回,nan
2016-09-01,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-02,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-05,1.183,1.183,0.08,开放申购,开放赎回,nan
2016-09-06,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-09-07,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-09-08,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-09-09,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-09-12,1.182,1.182,-0.08,开放申购,开放赎回,nan
2016-09-13,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-14,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-19,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-20,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-21,1.182,1.182,0.0,开放申购,开放赎回,nan
2016-09-22,1.183,1.183,0.08,开放申购,开放赎回,nan
2016-09-23,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-09-26,1.183,1.183,0.0,开放申购,开放赎回,nan
2016-09-27,1.184,1.184,0.08,开放申购,开放赎回,nan
2016-09-28,1.184,1.184,0.0,开放申购,开放赎回,nan
2016-09-29,1.184,1.184,0.0,开放申购,开放赎回,nan
2016-09-30,1.185,1.185,0.08,开放申购,开放赎回,nan
2016-10-10,1.186,1.186,0.08,开放申购,开放赎回,nan
2016-10-11,1.187,1.187,0.08,开放申购,开放赎回,nan
2016-10-12,1.187,1.187,0.0,开放申购,开放赎回,nan
2016-10-13,1.188,1.188,0.08,开放申购,开放赎回,nan
2016-10-14,1.188,1.188,0.0,开放申购,开放赎回,nan
2016-10-17,1.188,1.188,0.0,开放申购,开放赎回,nan
2016-10-18,1.189,1.189,0.08,开放申购,开放赎回,nan
2016-10-19,1.189,1.189,0.0,开放申购,开放赎回,nan
2016-10-20,1.19,1.19,0.08,开放申购,开放赎回,nan
2016-10-21,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-10-24,1.191,1.191,0.08,开放申购,开放赎回,nan
2016-10-25,1.191,1.191,0.0,开放申购,开放赎回,nan
2016-10-26,1.19,1.19,-0.08,开放申购,开放赎回,nan
2016-10-27,1.189,1.189,-0.08,开放申购,开放赎回,nan
2016-10-28,1.189,1.189,0.0,开放申购,开放赎回,nan
2016-10-31,1.189,1.189,0.0,开放申购,开放赎回,nan
2016-11-01,1.189,1.189,0.0,开放申购,开放赎回,nan
2016-11-02,1.189,1.189,0.0,开放申购,开放赎回,nan
2016-11-03,1.189,1.189,0.0,开放申购,开放赎回,nan
2016-11-04,1.19,1.19,0.08,开放申购,开放赎回,nan
2016-11-07,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-11-08,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-11-09,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-11-10,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-11-11,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-11-14,1.19,1.19,0.0,开放申购,开放赎回,nan
2016-11-15,1.189,1.189,-0.08,开放申购,开放赎回,nan
2016-11-16,1.188,1.188,-0.08,开放申购,开放赎回,nan
2016-11-17,1.188,1.188,0.0,开放申购,开放赎回,nan
2016-11-18,1.187,1.187,-0.08,开放申购,开放赎回,nan
2016-11-21,1.187,1.187,0.0,开放申购,开放赎回,nan
