净值日期,NO,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-03-12,26,1.1155,1.1155,0.0,开放申购,开放赎回,
2021-03-15,25,1.1154,1.1154,-0.01,开放申购,开放赎回,
2021-03-16,24,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-17,23,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-18,22,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-19,21,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-22,20,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-23,19,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-24,18,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-25,17,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-26,16,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-29,15,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-30,14,1.1154,1.1154,0.0,开放申购,开放赎回,
2021-03-31,13,1.1155,1.1155,0.01,开放申购,开放赎回,
2021-04-01,12,1.1155,1.1155,0.0,开放申购,开放赎回,
2021-04-02,11,1.1155,1.1155,0.0,开放申购,开放赎回,
2021-04-06,10,1.1155,1.1155,0.0,开放申购,开放赎回,
2021-04-07,9,1.1155,1.1155,0.0,开放申购,开放赎回,
2021-04-08,8,1.1156,1.1156,0.01,开放申购,开放赎回,
2021-04-09,7,1.1155,1.1155,-0.01,开放申购,开放赎回,
2021-04-12,6,1.1154,1.1154,-0.01,开放申购,开放赎回,
2021-04-13,5,1.1139,1.1139,-0.13,开放申购,开放赎回,
2021-04-14,4,1.1139,1.1139,0.0,开放申购,开放赎回,
2021-04-15,3,1.1145,1.1145,0.05,开放申购,开放赎回,
2021-04-16,2,1.1151,1.1151,0.05,开放申购,开放赎回,
2021-04-19,1,1.1162,1.1162,0.1,开放申购,开放赎回,
2021-04-20,0,1.1166,1.1166,0.04,开放申购,开放赎回,
